symbol,timestamp,open,high,low,close,adjusted close,volume,dividend amount
MMM,2021-04-30,193.2500,203.1550,188.6300,197.1400,176.9219,46438173,0.0000
MMM,2021-03-31,175.7000,196.7200,174.0700,192.6800,172.9193,62922350,0.0000
MMM,2021-02-26,175.9700,182.3800,173.5500,175.0600,157.1063,43154764,1.4800
MMM,2021-01-29,175.0000,187.2700,163.3800,175.6600,156.3391,70120337,0.0000
MMM,2020-12-31,174.2200,177.4600,169.1800,174.7900,155.5648,48751666,0.0000
MMM,2020-11-30,162.1900,179.6250,159.9000,172.7300,153.7314,53598220,1.4700
MMM,2020-10-30,160.6700,173.1900,156.1300,159.9600,141.1568,46222327,0.0000
MMM,2020-09-30,162.1700,173.2000,158.0700,160.1800,141.3509,55990350,0.0000
MMM,2020-08-31,151.0900,167.4900,149.3100,163.0200,143.8571,49410753,1.4700
MMM,2020-07-31,156.3400,163.3800,148.8000,150.4700,131.5862,58624658,0.0000
MMM,2020-06-30,155.9500,169.5400,150.1000,155.9900,136.4134,66941566,0.0000
MMM,2020-05-29,149.3000,159.8700,131.1200,156.4400,136.8070,86444186,1.4700
MMM,2020-04-30,132.0000,163.0800,131.0100,151.9200,131.5282,82041375,0.0000
MMM,2020-03-31,151.3400,154.7400,114.0400,136.5100,118.1866,148694286,0.0000
MMM,2020-02-28,160.0300,165.0400,145.9700,149.2400,129.2079,76313199,1.4700
MMM,2020-01-31,177.6800,182.5500,158.2300,158.6600,136.1111,70669691,0.0000
MMM,2019-12-31,170.1600,179.1800,162.7200,176.4200,151.3470,56386065,0.0000
MMM,2019-11-29,166.9400,176.7100,164.5100,169.7700,145.6421,48735226,1.4400
MMM,2019-10-31,165.0000,169.9500,150.5800,164.9900,140.3179,67848569,0.0000
MMM,2019-09-30,161.4000,172.4800,157.2600,164.4000,139.8162,51748862,0.0000
MMM,2019-08-30,174.7900,177.6700,154.0000,161.7200,137.5369,63243778,1.4400
MMM,2019-07-31,175.4600,187.7200,164.2900,174.7200,147.2411,62581470,0.0000
MMM,2019-06-28,159.7500,174.5600,159.3200,173.3400,146.0781,56452878,0.0000
MMM,2019-05-31,189.4900,189.7100,159.6300,159.7500,134.6255,94606211,1.4400
MMM,2019-04-30,209.8900,219.7500,186.5500,189.5100,158.3304,54909666,0.0000
MMM,2019-03-29,208.8100,210.5400,198.0000,207.7800,173.5945,47486793,0.0000
MMM,2019-02-28,201.4900,211.5900,196.2500,207.3900,173.2687,36859992,1.4400
MMM,2019-01-31,187.8200,200.8900,182.8900,200.3000,166.1775,53043637,0.0000
MMM,2018-12-31,211.2100,211.9500,176.8700,190.5400,158.0802,51331046,0.0000
MMM,2018-11-30,190.6100,209.7700,190.0900,207.9200,172.4994,51078359,1.3600
MMM,2018-10-31,212.4000,217.3400,181.9800,190.2600,156.7748,67294843,0.0000
MMM,2018-09-28,210.5500,217.8700,205.9000,210.7100,173.6256,45069452,0.0000
MMM,2018-08-31,210.9800,211.7200,197.1100,210.9200,173.7987,39293212,1.3600
MMM,2018-07-31,195.4600,212.7800,190.5700,212.3200,173.7866,51354208,0.0000
MMM,2018-06-29,198.7500,206.7900,193.6400,196.7200,161.0178,53365495,0.0000
MMM,2018-05-31,194.0300,206.0400,191.4400,197.2300,161.4352,64993177,1.3600
MMM,2018-04-30,218.0500,221.6900,194.1800,194.3900,158.0379,67416279,0.0000
MMM,2018-03-29,236.1500,243.1000,214.7300,219.5200,178.4684,55656719,0.0000
MMM,2018-02-28,247.4400,250.0900,218.1800,235.5100,191.4682,58411251,1.3600
MMM,2018-01-31,235.7800,259.7700,232.8100,250.5000,202.4825,49095766,0.0000
MMM,2017-12-29,243.1900,244.2300,234.2800,235.3700,190.2528,38797016,0.0000
MMM,2017-11-30,231.0000,243.4500,226.0400,243.1400,196.5334,34440959,1.1750
MMM,2017-10-31,210.7300,238.9000,210.0300,230.1900,185.1264,44495469,0.0000
MMM,2017-09-29,204.6100,214.6500,200.5100,209.9000,168.8085,35124213,0.0000
MMM,2017-08-31,202.2900,208.6300,201.3322,204.3200,164.3209,34452050,1.1750
MMM,2017-07-31,209.1400,213.4100,197.1700,201.1700,160.8550,35060153,0.0000
MMM,2017-06-30,204.2500,214.5700,203.6800,208.1900,166.4681,39932867,0.0000
MMM,2017-05-31,195.5000,204.4700,193.5400,204.4700,163.4936,39540280,1.1750
MMM,2017-04-28,191.8700,197.1200,188.6200,195.8300,155.6465,34911411,0.0000
MMM,2017-03-31,188.0800,193.5000,188.0100,191.3300,152.0699,44761862,0.0000
MMM,2017-02-28,175.1700,188.4100,173.5500,186.3500,148.1117,38913842,1.1750
MMM,2017-01-31,178.8300,180.0000,173.8100,174.8200,138.0549,37981723,0.0000
MMM,2016-12-30,171.6400,180.0600,171.0850,178.5700,141.0163,38972940,0.0000
MMM,2016-11-30,165.4000,175.5100,163.8500,171.7400,135.6226,43846020,1.1100
MMM,2016-10-31,175.3300,175.9500,165.1100,165.3000,129.7000,41884304,0.0000
MMM,2016-09-30,179.3100,181.6600,174.3850,176.2300,138.2761,38163518,0.0000
MMM,2016-08-31,177.0800,181.4700,177.0800,179.2400,140.6378,30879631,1.1100
MMM,2016-07-29,175.1400,182.2700,173.5100,178.3600,139.0890,38663452,0.0000
MMM,2016-06-30,167.7800,175.1400,165.1600,175.1200,136.5624,46966465,0.0000
MMM,2016-05-31,167.3000,171.2700,163.1700,168.3200,131.2596,36444151,1.1100
MMM,2016-04-29,165.6300,170.7700,164.6500,167.3800,129.6638,38822439,0.0000
MMM,2016-03-31,158.7500,167.5000,157.6100,166.6300,129.0828,48578405,0.0000
MMM,2016-02-29,149.3300,159.5000,146.0500,156.8700,121.5220,52785990,1.1100
MMM,2016-01-29,148.0500,151.0000,134.6442,151.0000,116.1292,63782768,0.0000
MMM,2015-12-31,156.4100,158.6900,146.6900,150.6400,115.8523,61096520,0.0000
MMM,2015-11-30,157.5100,160.0900,155.6000,156.5800,120.4206,42412178,1.0250
MMM,2015-10-30,142.2100,158.6800,138.5700,157.2100,120.1228,54373569,0.0000
MMM,2015-09-30,139.4200,145.5500,135.3900,141.7700,108.3252,65045527,0.0000
MMM,2015-08-31,150.7900,153.2400,134.0000,142.1400,108.6079,59241338,1.0250
MMM,2015-07-31,156.1300,157.9400,147.7000,151.3400,114.8307,54771035,0.0000
