symbol,timestamp,open,high,low,close,adjusted close,volume,dividend amount
A,2014-07-31,57.7400,58.5900,55.1350,56.0900,37.5111,39499700,0.0000
A,2014-06-30,56.9600,59.5800,56.3000,57.4400,38.4139,30333200,0.1320
A,2014-05-30,53.9400,57.3800,53.6600,56.9400,37.9923,45804900,0.0000
A,2014-04-30,56.2000,57.2400,51.9600,54.0400,36.0573,42226300,0.1320
A,2014-03-31,56.1200,59.3200,54.2200,55.9200,37.2233,51120300,0.0000
A,2014-02-28,58.1500,60.4600,54.8700,56.9300,37.8956,71462700,0.0000
A,2014-01-31,57.1000,61.2200,56.1500,58.1500,38.7077,52488700,0.0000
A,2013-12-31,53.4700,57.9400,52.5600,57.1900,38.0687,42414600,0.1320
A,2013-11-29,50.9200,55.7400,49.8400,53.5700,35.5769,52319200,0.0000
A,2013-10-31,50.7000,53.2400,49.3900,50.7600,33.7107,51500300,0.0000
A,2013-09-30,47.0400,53.4700,46.6150,51.2500,34.0361,65163900,0.1200
A,2013-08-30,45.5100,48.3300,45.3200,46.6400,30.9027,50116900,0.0000
A,2013-07-31,43.0500,46.9000,42.7200,44.7300,29.6372,52847800,0.0000
A,2013-06-28,45.6500,46.4500,41.8500,42.7600,28.3319,68549800,0.1200
A,2013-05-31,41.4200,47.4730,41.2360,45.4500,30.0300,93214000,0.0000
A,2013-04-30,41.8300,44.7850,40.3200,41.4400,27.3805,83061400,0.0000
A,2013-03-28,41.1800,43.5200,40.7300,41.9700,27.7307,61457102,0.1200
A,2013-02-28,45.0800,45.6600,40.1900,41.4800,27.3288,73615000,0.0000
A,2013-01-31,42.1700,45.5500,41.1500,44.7800,29.5029,68616100,0.0000
A,2012-12-31,38.6000,41.7400,37.6900,40.9400,26.9730,68282700,0.1000
A,2012-11-30,36.0400,38.5800,35.4500,38.2900,25.1651,82243400,0.0000
A,2012-10-31,38.5000,39.6400,35.3800,35.9900,23.6535,72293700,0.0000
A,2012-09-28,36.9700,40.1400,36.6200,38.4500,25.2703,75092900,0.1000
A,2012-08-31,38.7300,40.9650,36.5500,37.1600,24.3591,79969800,0.0000
A,2012-07-31,39.5300,39.8400,35.3200,38.2900,25.0999,50158600,0.0000
A,2012-06-29,39.2000,41.4500,36.9610,39.2400,25.7226,63993500,0.1000
A,2012-05-31,42.0300,43.2700,38.4400,40.6600,26.5857,77397300,0.0000
A,2012-04-30,44.5100,45.1500,39.1500,42.1800,27.5795,58527700,0.0000
